date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:07:40	4841/4841	---MCZ	200	added ('OK')	application/javascript	etag:%224c366680d1d215a62fc38030d7a824cc-ssl-df%22	https://coinmint.net/skin/js/wow.min.js	C:/MyWebsites/coinmint/coinmint.net/skin/js/wow.min.js	(from https://coinmint.net/)
03:07:40	25761/25761	---MCZ	200	added ('OK')	text/html	etag:%22a10a7be93760ca09d017007f15877394-ssl-df%22	https://coinmint.net/index-2	C:/MyWebsites/coinmint/coinmint.net/index-2.html	(from https://coinmint.net/)
03:07:41	25969/25969	---MCZ	200	added ('OK')	text/html	etag:%2279f7e60fca6bfe49fa57d8f4ee94e718-ssl-df%22	https://coinmint.net/index932e932e?pages_44/	C:/MyWebsites/coinmint/coinmint.net/index932e932e932e.html	(from https://coinmint.net/)
03:07:42	36775/36775	---MCZ	200	added ('OK')	text/html	etag:%2221fa8b166c92bae2b761c193411cd9aa-ssl-df%22	https://coinmint.net/index2b652b65?jianjie/	C:/MyWebsites/coinmint/coinmint.net/index2b652b652b65.html	(from https://coinmint.net/)
03:07:42	25105/25105	---MCZ	200	added ('OK')	text/html	etag:%22ef61ebe4b12d509e2c408aa727a06069-ssl-df%22	https://coinmint.net/indexc1a5c1a5?why-coinmint/	C:/MyWebsites/coinmint/coinmint.net/indexc1a5c1a5c1a5.html	(from https://coinmint.net/)
03:07:43	19242/19242	---MCZ	200	added ('OK')	text/html	etag:%22ce856f4de288008549021e4670a9ba30-ssl-df%22	https://coinmint.net/indexdd4edd4e?zuzhi/	C:/MyWebsites/coinmint/coinmint.net/indexdd4edd4edd4e.html	(from https://coinmint.net/)
03:07:43	37126/37126	---MCZ	200	added ('OK')	text/html	etag:%2246d6f69302eb2f37a99711264dd5bee7-ssl-df%22	https://coinmint.net/index9a149a14?pages_35/	C:/MyWebsites/coinmint/coinmint.net/index9a149a149a14.html	(from https://coinmint.net/)
03:07:44	27170/27170	---MCZ	200	added ('OK')	text/html	etag:%227f90bccf0064bf7a7b7e3036a6f04bcb-ssl-df%22	https://coinmint.net/index470e470e?pages_37/	C:/MyWebsites/coinmint/coinmint.net/index470e470e470e.html	(from https://coinmint.net/)
03:07:45	28843/28843	---MCZ	200	added ('OK')	text/html	etag:%22dc5deaf6439430ede78b172a02c24586-ssl-df%22	https://coinmint.net/index55685568?pages_38/	C:/MyWebsites/coinmint/coinmint.net/index556855685568.html	(from https://coinmint.net/)
03:07:45	27561/27561	---MCZ	200	added ('OK')	text/html	etag:%2227b11c74f14a94e530588b10cd516371-ssl-df%22	https://coinmint.net/indexb2beb2be?pages_46/	C:/MyWebsites/coinmint/coinmint.net/indexb2beb2beb2be.html	(from https://coinmint.net/)
